ArticleID,Topic,Ideology,Credibility,Source,Title,Abstract
54,gun_control,least_biased,medium,Newzjunky: AP,States divided along partisan lines in response to shootings,"Washington Gov. Jay Inslee was quick to react to this week’s carnage at a Texas elementary school, sending a tweet listing the gun control measures the Democratic-controlled state has taken. He finished with: “Your turn Congress.”
But gun control measures are likely going nowhere in Congress, and they also have become increasingly scarce in most states. Aside from several Democratic-controlled states, the majority have taken no action on gun control in recent years or have moved aggressively to expand gun rights.
That’s because they are either controlled politically by Republicans who oppose gun restrictions or are politically divided, leading to stalemate."
55,gun_control,least_biased,medium,Newzjunky: Syracuse,Syracuse Gun Show opens Saturday at NY State Fairgrounds amid confusion over new gun control laws,"New York State’s largest gun show opens Saturday in the Center of Progress building at the New York State Fairgrounds, and runs through Sunday.
Hosted by the New York State Arms Collectors Association, the Syracuse Gun Show will have 800-1,000 tables featuring firearms and memorabilia from gun collectors and dealers from all over the United States. The rollout of New York State’s sweeping new gun control laws have resulted in some confusion among vendors, said show manager Sandy Ackerman, but she expects the show to function as it has in the past. Ackerman stressed that all firearms, including concealed carry, must be unloaded and tied down at the show unless you’re paid security."
56,gun_control,center_right,high,Wall Street Journal,"Old Racist Gun Laws Enter Modern-Day Legal Battles: Government lawyers reluctantly cite historical laws that kept guns from Blacks, Native Americans and Catholics","Historical, racist gun laws are taking on new relevance in legal battles over modern-day gun regulations, following a Supreme Court ruling that expanded the right to bear arms. In the 1700s and 1800s, states across the country passed laws to keep guns out of the hands of slaves, free Black people, Native Americans and Catholics. Such discriminatory gun restrictions would be unconstitutional today, but they have entered the gun-rights debate as judges look to apply the Supreme Court’s decision last June that said gun restrictions must be anchored in historical traditions."
57,gun_control,center_right,high,Wall Street Journal,"Perception Diverges From Reality on Mass School Shootings
Gun-control advocates want you to think that tragedies like Uvalde are more common than they are","Saturation media coverage of such terrifying events as the mass shooting at Robb Elementary School in Uvalde, Texas, can leave some people with the impression that these things occur far more often than they do. The unique horror of mass shootings,” the Times reported, “means they occupy a central place in parents’ fears, and in the nation’s political debate about gun access and school safety, even though they remain rare.” Most gun-related deaths—54% in 2020—are suicides. Mass shooting casualties are less than 1% of all gun deaths, and there have been 13 mass school shootings since 1966. These data points are cold comfort to those mourning the shooting victims in Uvalde, but they ought to inform any public policy response under consideration."
58,gun_control,center_right,medium,New York Post,Black women seeing guns as protection from rising crime,"The 67-year-old Detroit grandmother squeezed the trigger, the echo of her shot blending into the chorus of other blasts by other women off the small gun range walls. “I was a little nervous, but after I shot a couple of times, I enjoyed it,” said Rupert, among 1,000 or so mostly Black women taking part in free weekend gun safety and shooting lessons at two Detroit-area ranges. Black women like Rupert increasingly are considering gun ownership for personal protection, according to industry experts and gun rights advocates. Gun ownership tends to increase when people lose faith in government and the police, said Daniel Webster, professor of American Health in Violence Prevention at the Bloomberg School of Public Health and director of the Johns Hopkins Center for Gun Violence Prevention and Policy."
59,gun_control,center_right,medium,New York Post,Biden opposed to ‘hardening schools’ against potential shooters,"President Joe Biden does not support “hardening schools” against potential school shooters following the massacre at a Texas elementary school last week, White House press secretary Karine Jean-Pierre said on Tuesday. “I know there’s been conversation about hardening schools, that is not something he believes in,” Jean-Pierre told reporters at a White House press conference. Republican lawmakers have been supportive of “hardening” schools by providing money for more security resources, law enforcement officers or even arming teachers. Murphy told The Associated Press on Thursday that he was “open” to increasing school security, however, Democrats have been steadfast against providing weapons to teachers. They’ve also argued that heightened security alone does not go far enough to protect students  The President said Monday he hadn’t yet spoken with Republican leaders about areas of potential compromise — despite the fact that a week had passed since the tragedy."
60,gun_control,right,high,National Review,When Gun Laws Don’t Prevent Gun Crime,"n Monday, in the city of Highland Park, Ill., a deranged goblin of a man opened fire on a July 4 parade, killing seven innocent people and wounding three dozen others. Because they are, relatively speaking, so rare and so unpredictable — and because America is so free — mass shootings remain one of the most intractable forms of crime.  Americans would do well to set incidents such as this one in their proper context. Random acts of violence are, indeed, terrifying, but they are terrifying because they are so rare. When allocating our limited time and resources, we ought to remember that while the most spectacular criminals garner all the attention, a devastating attrition continues unabated in the background. On the day before the shooting in Highland Park, 15 people were killed in Chicago. Thus far in 2022, there have been 250 murders in Philadelphia, 175 murders in Los Angeles, and 102 murders in Washington, D.C. Bringing down those numbers will take hard work, intelligent policing, a willingness to enforce the laws already on the books, and a commitment to engaging with the problem in its most common form — and not just when it provides clicks, outrage, and a chance to poke one’s political enemies in the eye."
61,gun_control,right,high,National Review,The gun control delusion,"The democrats dream of banning particular kinds of firearms, from the descendants of Eugene Stoner's AR-15 to the common 9mm handgun. This is not going to happen. The question has, in fact, already been litigated all the way to the Supreme Court, which in its Heller decision considered the issue of firearms that ""are commonly possessed by law-abiding citizens for lawful purposes today"" and held that any ""categorical ban of such weapons violates the Second Amendment""."
62,gun_control,right,medium,BreitBart,7th Murder Recorded for 2022 on Subway in Gun-Controlled NYC,"A youth basketball coach was stabbed to death on a New York City subway Thursday night, the seventh murder victim on the subway system in gun-controlled NYC this year. 
New York has some of the most stringent gun controls in the country, including red flag laws, universal background checks, an “assault weapons” ban, a high-capacity magazine ban, gun registration, controls on ammunition, and much more.
Democrat lawmakers recently created gun-free zones around NYC, where even concealed carry permit holders are barred from carrying guns for self-defense."
63,gun_control,right,medium,BreitBart,Good Guy with a Gun: Montenegro Mass Shooter Stopped by Armed Passerby,"A man went on a shooting rampage in the streets of this western Montenegro city Friday, killing 10 people, including two children, before being shot dead by a passerby, officials said. Brdjanin said the man used a hunting rifle to first shoot to death two children ages 8 and 11 and their mother, who lived as tenants in the attacker’s house in Cetinje’s Medovina neighbourhood. Andrijana Nastic, the prosecutor coordinating the crime scene investigation, told journalists that the gunman was killed by a passerby and that a police officer was among the wounded. She said nine of those killed died at the scene and two died at a hospital where they were taken for surgery."
64,gun_control,right,medium,Fox News,Blatantly unconstitutional': Strict gun control law faces new NRA-backed legal challenge,"One of the strictest gun control laws in the nation is facing a new National Rifle Association-backed legal challenge as a federal judge prepares to decide whether to delay the measure's implementation.
Two former Oregon lawmakers, a sporting goods store, the National Shooting Sports Foundation (NSSF) and the Oregon State Shooting Association — the NRA's state affiliate — filed the lawsuit Thursday, arguing the voter-approved Measure 114 places ""severe and unprecedented burdens"" on those seeking to exercise their Second Amendment rights.
Measure 114 passed with just 50.65% of the vote last month. It bans ammunition magazines capable of holding more than 10 rounds and mandates the creation of a permit-to-purchase system that includes hands-on firearm training and fingerprinting. ""Oregon has not yet even provided the necessary funding for, let alone set up the systems required to administer its new and onerous permitting scheme,"" the latest lawsuit alleges."
65,gun_control,right,medium,Fox News,"Proposed gun control measures lack empirical evidence they reduce crimes, experts say","Calls for gun control have echoed across the nation following a series of devastating mass shootings. Some experts, however, say there’s little to no evidence showing that tightening laws on guns will prevent violent crimes and similar shootings. 
""Not really,"" Crime Prevention Research Center President John Lott told Fox News Digital when asked if there is empirical evidence showing gun control measures can prevent violent crimes. ""There's been a lot of studies done on things like assault weapons bans, background checks … Even for the assault weapons ban, even the Clinton administration - which signed it into law - paid for research on it. And even their studies couldn't find any benefits in terms of reducing a type of violent crime or in terms of stopping things like mass public shootings."""
66,vaccines,left,high,The New Yorker,"The Vaccine-Mandate Battle. Vaccines work, and so do mandates—but Aaron Rodgers and Republican politicians are among those who are muddying the message.","It might seem obvious that there is a cost to not getting a vaccine that offers protection against a virus that has killed three-quarters of a million Americans, but nationwide only sixty-eight per cent of those over the age of eleven are fully vaccinated. And so, amid concerns about a winter surge—already emerging in Europe—more mandates and vaccination-related rules are being introduced. The Rodgers affair has become a showcase for misinformation about vaccines. In a sprawling interview on “The Pat McAfee Show,” on YouTube, Rodgers said that he was being pursued by a “woke mob,” and listed one false claim after another: there is a way to immunize oneself without getting covid or a vaccine; vaccines might interfere with his someday “being a father”."
67,vaccines,left,high,The New Yorker,When Parents Forbid the COVID Vaccine,"A teen-ager explains how his parents’ resistance to vaccination has strained their family life, and the options he’s explored for receiving the shot without their permission. The C.D.C. now recommends vaccination for everyone twelve years of age or older. Young people rarely get severely ill from the virus, but, of course, they can transmit it to others. "
68,vaccines,left,medium,Huffington Post,Anti-Vaccine Activists Stole These People's Stories. Now They’re Speaking Out.,"This anti-vaccine propaganda movement has completely misrepresented stories of tragedy and medical emergencies. The victims are done being quiet about it. Bridges had survived COVID-19. She contracted the disease in January 2022, and a congenital heart condition called aortic valve stenosis had exacerbated the virus’s effect on her body. She left the hospital last March and quickly learned that by doing so she’d be admitted into a growing club of people whose tragedies and medical emergencies have been turned into anti-vaccine propaganda. Thanks to a conspiracy theory-hawking film and a corresponding social media movement, anyone who had, as the saying goes, “died suddenly” — or in Bridges’ case, escaped a sudden death — regardless of the cause, was a target. Now, as their ranks swell and their frustration mounts at seeing lies about themselves and their loved ones, some are speaking out, refusing to stay silent as their experiences are hijacked."
69,vaccines,left,medium,Huffington Post,Anti-Vaccine Activists Stole These People's Stories. Now They’re Speaking Out.,"The new plan, outlined in documents the FDA released ahead of the agency’s vaccine advisory committee meeting on Thursday, would empower the FDA to decide in June of each year which strain of the virus is most likely to be the biggest threat the following winter. Vaccines targeting that variant would then start rolling out no later than September, with most people likely receiving one dose a year."
70,vaccines,center_left,high,ABC News,"Moderna says its COVID vaccine will remain free for all consumers, even those uninsured","Moderna will keep its COVID vaccine on the market at no cost to consumers, even after the federal government stops paying for it, the company announced Wednesday.
""Everyone in the United States will have access to Moderna's COVID-19 vaccine regardless of their ability to pay,"" the company said in a statement.
Last month, the vaccine maker was slammed for reportedly considering a dramatic price increase for the shot, which it had developed with the help of the federal government."
71,vaccines,center_left,high,ABC News,"COVID-19 vaccines are safe and effective for kids, according to new data","Two doses of the mRNA COVID-19 vaccine among school-aged children safely and effectively reduces COVID-19 infection risk as well as associated risks for developing multisystem inflammatory syndrome and COVID-19 related hospitalizations, new data suggests.
This study adds evidence to existing studies and ""supports the safety and efficacy of mRNA COVID-19 vaccine in children aged 5-11 years,"" authors Dr. Jun Yasuhara of the Center for Cardiovascular Research at Nationwide Children's Hospital and Dr. Toshiki Kuno of the Division of Cardiology at Montefiore Medical Center told ABC News."
72,vaccines,center_left,medium,Buzzfeed,Johnson & Johnson’s COVID Vaccine Was Immunizing Homeless People. Then It Was Put On Pause,"For most Americans, the pause of the J&J vaccine over the last week has had little to no effect on their ability to get vaccinated. 
But for healthcare providers struggling to find people at the margins — including those living on the streets, moving through shelters, or otherwise lacking a permanent address — J&J’s vaccine was a short-lived blessing. In its absence, they say, some of the most at-risk people in the US aren’t getting another type of shot. And even if the pause lifts, they may not get vaccinated then, either, some clinicians fear, because they’ll have concerns that it’s unsafe."
73,vaccines,center_left,medium,Buzzfeed,"Despite What Anti-Vaxxers Say, Vitamin K Shots Are Safe For Newborns
","Babies are born with a deficiency in vitamin K, an important factor for proper blood clotting. So most newborns are given a shot of vitamin K soon after birth to prevent potentially life-threatening hemorrhages in the brain or intestines.
In one study, researchers surveyed parents who intended to refuse the shot and found that most were white, college-educated people over 30. In addition to the vitamin K shot, 90% refused the hepatitis B vaccine. Their concerns included ""toxic"" ingredients, excessive doses, and side effects. Most of them — 70% — got their information from the internet.
But there are potential health risks for babies whose parents skip the shot, according to Dr. Mark Hudak, the chair of the pediatrics department at University of Florida College of Medicine–Jacksonville."
74,vaccines,least_biased,high,CNET,COVID Vaccines in 2023: What We Know and What We Don't,"A more blanket approach to COVID-19 vaccines -- with most people getting one shot per year and people at higher risk of illness getting two shots -- is what the FDA is aiming for. But past public messaging problems, including a sometimes confusing booster recommendation that marked earlier parts of the pandemic, are just a couple of the hurdles the FDA will need to overcome in this next phase.
In addition to public health awareness, details on who will pay and how much they'll pay for vaccines once the government is no longer footing the bill must still be be determined. Moderna's CEO was called to testify at a Senate hearing in March by Sen. Bernie Sanders, an independent of Vermont, after the vaccine company proposed a vaccine price hike. "
75,vaccines,least_biased,high,CNET,"COVID-19 Vaccines You Can Drink, Snort or Inhale Could Be the Future","What if you could drink your COVID-19 vaccine instead of rolling up your sleeve? No needle -- just a ""swish and swallow,"" and your new immunity is down the hatch. 
You might be able to within the next couple of years, as researchers expand their focus onto mucosal vaccines, which include nasal or inhaled vaccines as well as ""swish and swallow"" oral vaccines such as QYNDR, which completed its phase 1 clinical trial and is currently waiting on more funding to conduct the more detailed, advanced trials that could actually bring the vaccine to market. "
76,vaccines,least_biased,medium,Newzjunky: BBC,"BioNTech: Could Covid vaccine technology crack cancer?
","They are the husband and wife team behind one the most successful Covid vaccines, yet in the UK they are barely known.
Professors Ugur Sahin and Ozlem Tureci co-founded the German company BioNTech in 2008, exploring new technology involving messenger RNA (mRNA), to treat cancer.
When the pandemic struck they partnered with Pfizer to use the same approach to create a Covid vaccine.
Now the doctors are hopeful it could lead to new treatments for melanoma, bowel cancer and other tumour types."
77,vaccines,least_biased,medium,Newzjunky: Mailonline,"Getting Pfizer's Covid booster and flu vaccine on the same day may raise the risk of a STROKE, FDA says
"," Getting Pfizer's Covid bivalent booster and a flu shot on the same day may raise the risk of a stroke, a small official analysis suggests.
The Food and Drug Administration (FDA) found the preliminary link while scouring vaccine injury databases after a separate safety concern was raised about Pfizer's jab.
Earlier this month, one of the country's vaccine surveillance systems flagged a possible association between the Omicron-specific shot and an elevated risk of an ischemic stroke among seniors over 65. "
78,vaccines,center_right,high,Wall Street Journal,"Three Years Late, the Lancet Recognizes Natural Immunity","The Lancet medical journal this month published a review of 65 studies that concluded prior infection with Covid—i.e., natural immunity—is at least as protective as two doses of mRNA vaccines. The most surprising news was that the study made the mainstream press.
“Immunity acquired from a Covid infection is as protective as vaccination against severe illness and death, study finds,” NBC reported on Feb. 16. The study found that prior infection offered 78.6% protection against reinfection from the original Wuhan, Alpha or Delta variants at 40 weeks, which slipped to 36.1% against Omicron. Protection against severe illness remained around 90% across all variants after 40 weeks. These results exceed what other studies have found for two and even three mRNA doses."
79,vaccines,center_right,high,Wall Street Journal,Are Vaccines Fueling New Covid Variants?,"Public-health experts are sounding the alarm about a new Omicron variant dubbed XBB that is rapidly spreading across the Northeast U.S. Some studies suggest it is as different from the original Covid strain from Wuhan as the 2003 SARS virus. Should Americans be worried?
It isn’t clear that XBB is any more lethal than other variants, but its mutations enable it to evade antibodies from prior infection and vaccines as well as existing monoclonal antibody treatments. Growing evidence also suggests that repeated vaccinations may make people more susceptible to XBB and could be fueling the virus’s rapid evolution."
80,vaccines,center_right,medium,New York Post,"Do the right thing, Mayor Eric Adams, and rehire the heroes fired over the vaccine","The COVID-19 pandemic created a grand drama complete with protagonists and antagonists. Despite the danger, many civil servants risked their own and their loved one’s health to continue to fulfill their commitments to the city’s citizens.
They were initially rewarded with hero status, and we were encouraged to applaud their sacrifice daily — until Feb. 14, 2022, when the Adams administration terminated more than 1,400 (later upped to 1,780) government employees, including at the NYPD and FDNY, for refusing to get the COVID-19 vaccine.
A year later, Mayor Eric Adams has removed the city-worker vax mandate but refused to reinstate the fired employees, forcing them to reapply, starting over in seniority and pay scale and with no possibility of back pay."
81,vaccines,center_right,medium,New York Post,Michigan mom sues DeVos Children’s Hospital over transplant vax requirement,"A Michigan mother is suing a hospital for requiring her daughter to get vaccinated against COVID-19 before getting a kidney transplant.
Jenna Campau, of Fennville, adopted the 17-year-old girl from Ukraine in 2021, according to her complaint filed Friday in US District Court for the Western District of Michigan, the Detroit News reported.
The teen — identified as A.C. in court documents — is battling chronic kidney disease with just one of two organs to filter her blood while receiving dialysis at DeVos Children’s Hospital.
But doctors at the Grand Rapids hospital have said the teen must adhere to pre-transplant requirements in order to receive the new kidney, including being vaccinated for COVID-19, the flu and human papillomavirus, the lawsuit alleges.
Campau and her husband claim the requirement violates their civil rights protections since they reject any vaccine produced or researched using “aborted fetal cells and also genetic modifications or therapies that involve combing human and cells or DNA,” according to the filing."
82,vaccines,right,high,National Review,Why Did the Chinese Government Not Prioritize Vaccinating the Elderly,"China’s vaccines against Covid-19 were never that effective, and evidence suggests that the Chinese vaccines are even less against effective against Omicron. Still, I suppose you would rather have a somewhat effective vaccine than no vaccine. But in a baffling decision, the Chinese vaccination program didn’t focus on the elderly.
China’s National Bureau of Statistics warned in May of last year that “increasing elderly population will reduce the supply of labor force and increase the burden on families’ elder care and the pressure on the supply of basic public services. . . . The aging of the population has further deepened, and in the coming period, (we will) continue to face pressure for the long-term balanced development of the population.” Decades of the One Child Policy have created a gender imbalance, and much fewer workers and a much larger group of aging and elderly who need care.
I suppose if an autocratic regime were cynical and cruel enough, they could see Covid-19 as an opportunity to thin the herd of senior citizens, to alleviate the country’s mounting costs of elder care in future years."
83,vaccines,right,high,National Review,The ‘Disinformation’ Police Become the Peddlers,"Look no further than the latest news surrounding Covid-19 to understand how the “disinformation” alarmists — especially those in the media who, like these tracking groups, treat non-consensus views as dangerous — have been getting it all wrong.
In the past few weeks, we’ve learned: The Energy Department suspects the pandemic started with a lab leak, as does the FBI; masks may have done very little to curb transmission; natural immunity provided a level of protection similar to that from two doses of the vaccine; and more. All points were considered disinformation by the truth arbiters not so long ago, but we at National Review weren’t afraid to make them, over and over, and early."
84,vaccines,right,medium,BreitBart,Kevin McCarthy Celebrates: ‘The COVID Vax Mandate on Our Military Is Ending’,"Republican leader Rep. Kevin McCarthy (R-CA) celebrated on Tuesday after it was revealed the defense bill rescinds the vaccine mandate imposed on U.S. military members by the Biden administration, deeming the end of the mandate “a victory for our military” and for “common sense.”
“While I applaud the end of this onerous mandate — the Biden administration must go further,” McCarthy continued, noting the “negative consequences” the mandate has had on the military. "
85,vaccines,right,medium,BreitBart,"‘The Nanny’ Star, SAG-AFTRA President Fran Drescher Blasts Vaccine Mandates as Infringement on Body Sovereignty: ‘Above All Else, Freedom’","Hollywood star Fran Drescher — who is the president of SAG-AFTRA, Hollywood’s largest actors union — has blasted COVID vaccine mandates as an infringement on basic liberties, saying no one should be forced to take the vaccine as a condition for work, travel, dining, or attending public events.
“So to think that every human on the planet can take one vaccine is ludicrous,” she began. “And to make that one vaccine the criteria for who is allowed to work, travel, dine, go to theater, etc., is an infringement on the Disabilities Act, the Freedom of Religion Act, and body sovereignty.”"
86,vaccines,right,medium,Fox News,Ron DeSantis fires back at liberal media critics as Florida investigates COVID vaccine wrongdoing,"Florida Governor Ron DeSantis responded to critics after he called for a grand jury to investigate possible COVID-19 vaccine wrongdoing across the Sunshine State. 
DeSantis joined ""The Ingraham Angle"" on Tuesday night to discuss how he upheld Floridians' rights while the far-left infringed on medical freedom in other areas of the country. 
""The authoritarians were the ones that wanted to mandate the vax on people,"" DeSantis told Laura Ingraham. ""I protected people from having that happen and made sure Floridians could make their own choice. The authoritarians wanted to institute a vaccine passport system almost like a social credit system, so that people who dissented from this would be marginalized from society entirely. We rejected that and we banned it."""
87,vaccines,right,medium,Fox News,Piers Morgan calls out Dr. Fauci: He spent way too much time on TV lecturing people about 'the science',"Fox Nation host Piers Morgan said Monday that one lesson from the COVID-19 pandemic is to listen to scientists, while also respecting everyone’s right to challenge scientific opinions. The host of ""Piers Morgan Uncensored"" said Dr. Anthony Fauci and other officials went on television the past few years and ""lectured"" people with a false sense of ""certainty"" about COVID vaccines and other pandemic measures."
88,culture_sports,left,high,The New Yorker,The Beyoncé Grammys Were Awkward: A ceremony that was designed to feel like a coronation instead came off like an apology.,"In winning Best R. & B. Song for “Cuff It,” a highlight from her 2022 album, “Renaissance,” she tied with the conductor Georg Solti for the highest number of Grammy wins. But it was a complicated achievement when considered against the backdrop of Beyoncé’s Grammys history, in which she has also been one of the Recording Academy’s most overlooked artists, racking up smaller genre-based wins yet mostly losing out in the awards’ headlining categories."
89,culture_sports,left,high,The New Yorker,Has the U.S. Become a Soccer Nation?,"The men’s team may have crashed out in the World Cup against the Netherlands, but soccer has come a long way in America. Even though the U.S. team has qualified for every World Cup except one since 1990, the ceiling for talent on this year’s young American squad was unusually high. So, too, were the expectations. If it’s the hope that kills you, as British fans like to say, then this sting of defeat in a major tournament feels like another small turning point in American soccer: to truly suffer is the mark of an actual soccer nation."
90,science_tech,left,high,The New Yorker,The Supreme Court Probably Won’t Break the Internet—At Least for Now,"The first case, Gonzalez v. Google, focusses on the recommendation algorithms that steer users to specific pieces of content. Is suggesting an article, image, or video the same as supporting it? The second, Twitter v. Taamneh, considers whether platforms are responsible for the content that their users share online. If the answer to either question is yes, then many tech companies would need a fundamental overhaul."
91,science_tech,left,high,The New Yorker,The Medical Miracle of a Pig’s Heart in a Human Body,"The human heart being replaced was, of course, an ill one. It was dilated from being unable to pump properly. The cardiac chambers to which the pig heart would be attached were large. The team had to stitch the small “O” of the pig part to a much larger “O” on the human’s. Griffith was accustomed to making modifications, but less drastic ones. When he first pulled the pig heart out of its container, it looked small and pale. “It had an opaqueness that was off-putting,” he said. “I wondered, Did we do something wacky?” He connected the pig heart to the patient’s vessels. He released the clamp, allowing human blood to flow into the organ. “It was as if we’d turned on a light. And it was a red light. The heart just brightened up. And it went from trembling to pumping.” He demonstrated the movement with his hands. “Hearts don’t just squeeze when they beat, they kind of twist, and this heart—it was doing the hoochy-coochy. It was one of the best hearts I’ve ever seen after transplantation.”"
92,culture_sports,left,medium,Huffington Post,Harry & Meghan' Made A Docuseries For Themselves: Not For Us,"Shrouded in mystery until its release, the show’s top-secret rollout (no reporter or critic received screeners ahead of time) would suggest it would be a tell-all event. Yet, we didn’t learn much new information, especially not near the level of the couple’s explosive interview with Oprah Winfrey in the spring of 2021.
Sure, not everything needs to deliver revelation after revelation. But such a high-profile series inherently comes with those expectations. Instead, the visually well-made docuseries, directed by Oscar nominee Liz Garbus, covers a lot of well-documented territory. "
93,culture_sports,left,medium,Huffington Post,LeBron James' 'Corny' And 'Embarrassing' Gesture At Super Bowl Riles Up Viewers,"Lebron James, the newly anointed all-time NBA scoring leader, was reportedly booed when he appeared on the big screen at State Farm Stadium in Glendale, Arizona, during the Kansas City Chiefs’ victory over the Philadelphia Eagles.
LeBron is nicknamed King James but fans gave him grief for putting on an imaginary crown while attending the Super Bowl on Sunday. "
94,science_tech,left,medium,Huffington Post,"Twitter Reportedly Lays Off Another 10% Of Employees
","Twitter laid off as many as 200 employees over the weekend, including a key figure who helped establish the site’s new system to charge for verification, according to reports.
Dozens of employees at the social media giant wrote they found themselves locked out of the company’s email and internal message boards. The cuts ultimately impacted people on several important teams, including product managers and engineers that help keep Twitter online."
95,science_tech,left,medium,Huffington Post,European Space Agency Pushing For Moon To Have Its Own Time Zone,"This week, the agency said space organizations around the world are considering how best to keep time on the moon. The idea came up during a meeting in the Netherlands late last year, with participants agreeing on the urgent need to establish “a common lunar reference time,” said the space agency’s Pietro Giordano, a navigation system engineer.
For now, a moon mission runs on the time of the country that is operating the spacecraft. European space officials said an internationally accepted lunar time zone would make it easier for everyone, especially as more countries and even private companies aim for the moon and NASA gets set to send astronauts there."
96,culture_sports,center_left,high,ABC News,"Chris Rock responds to infamous Oscars slap from Will Smith nearly a year later
","Comedian Chris Rock finally addressed, what has largely been dubbed as “the slap heard around the world,” nearly a year after actor Will Smith slapped the comedian on stage at the 2022 Academy Awards.
In the newly-released Netflix special, “Selective Outrage,” Rock hit back during his stand-up routine and shared his thoughts on the incident. He said he’s “not a victim, baby.”
“You all know what happened to me, getting smacked by Suge Smith,” Rock said. “It still hurts. I got ‘Summertime’ ringing in my ears. But I’m not a victim, baby. You’ll never see me on Oprah or Gayle crying… I took that hit like Pacquiao.”"
97,culture_sports,center_left,high,ABC News,Paris: Notre Dame Cathedral set to reopen in December 2024,"The reconstruction of Notre Dame Cathedral in Paris is going fast enough to allow its reopening to visitors and faithful at the end of 2024, less than six years after a fire ravaged its roof, French officials said Monday.
The cathedral's iconic spire, which collapsed in the blaze, will gradually start reappearing above the monument this year in a powerful signal of its revival, the army general in charge of the colossal project, Gen. Jean-Louis Georgelin, said.
“The return of the spire in Paris’ sky will in my opinion be the symbol that we are winning the battle of Notre Dame,"" he told the Associated Press."
98,science_tech,center_left,high,ABC News,Danish defense ministry bans TikTok on employee work phones,"NATO-member Denmark's Defense Ministry on Monday banned its employees from having video-sharing app TikTok on their work phones as a cybersecurity measure.
It’s the latest government-related ban over security and data privacy for the app, which is owned by Beijing-based ByteDance Ltd.
In a statement, the ministry said the Scandinavian country's Center for Cyber Security had assessed there was a risk of espionage, and said that TikTok “asks for certain rights and access on the device.”"
99,science_tech,center_left,high,ABC News,Eating disorder experts are worried about diabetes drugs like Ozempic being used for weight loss,"The popularity around weight loss drugs like Ozempic is worrying eating disorder experts, who say the conversation risks making recovery harder and could put others at risk of developing disorders.
""My fear is that there is now a belief that anyone can and should achieve a certain body shape and size with the help of these medications, so there's going to be an even greater drive towards a certain body type,"" said Tracy Richmond, director of the eating disorder program at Boston Children's Hospital. Medications like Ozempic and Mounjaro were originally developed and FDA approved to treat people with Type 2 diabetes. But they also lead to weight loss, and many doctors also prescribe them off-label to patients with obesity."
100,culture_sports,center_left,medium,Buzzfeed,A College Student Who Survived Turkey’s Earthquake Described The Terror Of Seeing Buildings Collapse And The Grief That Has Followed,"It's been three weeks since two massive earthquakes struck Turkey and Syria, and the people living in the region are continuing to face deadly and destructive aftershocks. In Turkey alone, more than 44,000 people have been reported dead as of Monday, according to the country's disaster management agency. Dilbar Bek, who is now back in the US and still processing what she lived through, told BuzzFeed News she hopes the rest of the world doesn't move on just yet."
101,culture_sports,center_left,medium,Buzzfeed,"Rihanna Famously Declined Headlining The Super Bowl Halftime Show In Protest. Then Motherhood Changed Her Mind.
","For years, the singer declined the major event, in part because of the NFL’s treatment of Colin Kaepernick, the football star who knelt during “The Star-Spangled Banner” at the start of multiple games in 2016 in protest against racial injustice and police brutality that sparked a larger movement. ihanna outlined her reasons for deciding to finally headline on Wednesday in a cover story for British Vogue. It turns out much of her justification has to do with last year’s headliners.
That’s not to say she doesn’t still have her concerns with the NFL. “There’s still a lot of mending to be done in my eyes,” Rihanna said. “But it’s powerful to break those doors, and have representation at such a high, high level and a consistent level.”"
102,science_tech,center_left,medium,Buzzfeed,Voice Deepfakes Of Everyone From Joe Rogan To Joe Biden Are Taking Over Social Media,"The video, viewed over a million times, isn’t likely to fool anyone — even Biden’s most ardent opponents. But the eerily accurate cadence of the deepfaked version of the president does highlight the ability of AI-generated audio tools to mimic well-known individuals. It’s far from the only example: TikTok has been taken over by videos showing what would happen if a squad made up of current and former presidents gathered on Discord to play games together."
103,science_tech,center_left,medium,Buzzfeed,Dermatologists Shared The Benefits Of Vitamin C Serums,"“Vitamin C is an incredible multitasker,” Dr. Geeta Yadav, a board-certified dermatologist and founder of Facet Dermatology, told BuzzFeed News via email. “It's a potent antioxidant, so it defends skin from free radical damage; it promotes healthier collagen for firmer, smoother skin with less noticeable pores; and it's a tyrosinase inhibitor, which means that it helps inhibit the formation of discoloration, leading to brighter, more even skin.” "
104,culture_sports,least_biased,high,CNET,Roger Federer Retires From Tennis,"Citing challenges including surgeries and injuries over the past three years, Federer said that while he's worked to return to form, he must acknowledge his ""body's capacities and limits.""
""I am 41 years old. I have played more than 1,500 matches over 24 years,"" Federer said in a statement. ""Tennis has treated me more generously than I ever would have dreamt, and now I must recognize when it is time to end my competitive career."""
105,culture_sports,least_biased,high,CNET,"Under De-Influence: This TikTok Trend Aims to Get Us to Rethink What We Buy
","Whether or not you own one of these specific items, the likelihood is that at some point you've either bought or considered buying something cool, interesting or aesthetically appealing based on the recommendation of someone you've seen on social media. That's just how influencer marketing is designed to work.
But over the past month, a growing wave of creators on TikTok are urging people to resist the lure of influencer marketing and reassess their spending as part of a trend that's been dubbed ""de-influencing,"" which has spawned a hashtag that at the time of writing has almost 180 million views."
